ParameterID_T,Type
thsph_ph_noref_acl,Vent Fluid pH
practical_salinity,Practical Salinity
salinity,Practical Salinity
met_salsurf,Practical Salinity
ctd_psu,Practical Salinity
ctdav_n_auv_conductivity,Seawater Conductivity
conductivity,Seawater Conductivity
ctdbp_seawater_conductivity,Seawater Conductivity
ctdbp_no_seawater_conductivity,Seawater Conductivity
sea_surface_conductivity,Seawater Conductivity
dpc_ctd_seawater_conductivity,Seawater Conductivity
seawater_conductivity,Seawater Conductivity
sci_water_cond,Seawater Conductivity
ctdpf_ckl_seawater_conductivity,Seawater Conductivity
ctdmo_seawater_conductivity,Seawater Conductivity
spkir_abj_cspp_downwelling_vector,Downwelling Spectral Irradiance
spkir_downwelling_vector,Downwelling Spectral Irradiance
thsph_hydrogen,Hydrogen Concentration
thsph_sulfide,Hydrogen Sulfide Concentration
vent_fluid_chloride_conc,Chloride Concentration
wave_dp1,Wave Direction
wave_dp2,Wave Direction
wave_dm,Wave Direction
wavss_a_corrected_mean_wave_direction,Wave Direction
wavss_a_corrected_directional_wave_direction,Wave Direction
peak_wave_direction,Wave Direction
mean_direction,Wave Direction
mean_spread,Wave Direction
mean_direction_array,Wave Direction
wavss_a_corrected_mean_wave_direction,Wave Direction
dp_swell,Wave Direction
d_mean,Wave Direction
hs_sea,Wave Height
hs_swell,Wave Height
average_wave_height,Wave Height
max_wave_height,Wave Height
significant_wave_height,WaveHeight
wave_height_10,WaveHeight
wave_height_hmo,WaveHeight
wave_hs1,WaveHeight
wave_hs2,WaveHeight
peak_wave_period,Wave Period
wave_period_10,Wave Period
mean_wave_period,Wave Period
wave_period_tp5,Wave Period
peak_wave_period,Wave Period
significant_period,Wave Period
wave_tp1,Wave Period
wave_tp2,Wave Period
t_max,Wave Period
t_1_3,Wave Period
t_mean,Wave Period
t_1_10,Wave Period
tp_sea,Wave Period
tp_swell,Wave Period
vel3d_a_va,velocity
vel3d_a_vb,velocity
vel3d_a_vc,velocity
vel3d_a_vd,velocity
fdchp_wind_x,velocity
fdchp_wind_y,velocity
fdchp_wind_z,velocity
estimated_upward_seawater_velocity,velocity
upward_turbulent_velocity,velocity
vel3d_c_eastward_turbulent_velocity,velocity
vel3d_c_northward_turbulent_velocity,velocity
fdchp_a_windtur_north,velocity
fdchp_a_windtur_up,velocity
fdchp_a_windtur_west,velocity
water_velocity,Current Speed
turbulent_velocity_up,velocity
turbulent_velocity_east,velocity
turbulent_velocity_north,velocity
velocity_beam1,velocity
velocity_beam2,velocity
velocity_beam3,velocity
velocity_beam4,velocity
velocity_beam5,velocity
average_depth,remove
beam_conf,remove
cal_press,remove
commanded_volume,remove
cumulative_volume,remove
depth_offset,remove
depth_offset,remove
dofst_k_oxygen,remove
flntu_x_mmp_cds_scat_seawater,remove
heat_temp,remove
hpies_compass_fwrite_attempted,remove
hpies_data_valid,remove
hpies_data_validity,remove
hpies_hcno,remove
hpies_hcno_last_cal,remove
hpies_hcno_last_comp,remove
hpies_ifok,remove
hpies_irq2_count,remove
hpies_last_pressure,remove
hpies_last_temperature,remove
hpies_last_temperature,remove
hpies_mot_pwr_count,remove
hpies_n_travel_times,remove
hpies_secs,remove
humidity,remove
humidity_temperature,remove
iris_temp,remove
lily_temp,remove
massp_inlet_temp_value,remove
massp_nafion_core_temp,remove
massp_nafion_elapsed_time,remove
massp_temp_analyzer,remove
massp_temp_ion,remove
massp_temp_main_24v,remove
massp_temp_main_control,remove
massp_temp_main_rough,remove
massp_temp_nafion,remove
massp_temp_sec_24v,remove
massp_temp_sec_rough,remove
massp_turbo_bearing_temperature,remove
massp_turbo_motor_temperature,remove
met_stablty,remove
nutnr_dac_nitrate_max,remove
nutnr_dac_nitrate_min,remove
nutnr_salinity_fit,remove
nutnr_temp_comp,remove
nutnr_temp_comp,remove
par_val_v,remove
press_spec,remove
pressure_temp,remove
ptemp_frequency,remove
ref_temp_degc,remove
rms_error,remove
salinity,remove
temp_spectrometer,remove
thsph_temp_int,remove
vel_max,remove
vel_max_change,remove
vel_min,remove
rec_time_series,remove
rec_dir_spec,remove
press_spec,remove
cal_press,remove
dir_p2,remove
stop_time,remove
num_beams,remove
beam_conf,remove
pr_max_dev,remove
surf_min,remove
surf_max,remove
surf_max_chng,remove
depth_offset,remove
average_depth,remove
trhph_cycle_time_units,remove
ref_temp_degc,remove
resistivity_temp_degc,remove
num_beams,remove
dir_p2,remove
reserved,remove
press_spec,remove
rec_dir_spec,remove
rec_time_series,remove
vel3d_l_date_time_array,remove
date_time_array,remove
met_stablty,remove
turbulent_velocity_vertical,velocity
turbulent_velocity_vertical,velocity
turbulent_velocity_vertical,velocity
vel3d_c_upward_turbulent_velocity,velocity
vel3d_c_upward_turbulent_velocity,velocity
vel3d_c_upward_turbulent_velocity,velocity
water_velocity_east,velocity
water_velocity_east,velocity
water_velocity_east,velocity
water_velocity_east,velocity
water_velocity_east,velocity
water_velocity_east,velocity
water_velocity_east,velocity
water_velocity_north,velocity
water_velocity_north,velocity
water_velocity_north,velocity
water_velocity_north,velocity
water_velocity_north,velocity
