reference_designator,inst,status,comments
CE01ISSM-MFD37-00-DCLENG000,DCLEN,not for review,
CE04OSSM-RID27-00-DCLENG000,DCLEN,not for review,
GA01SUMO-SBD12-00-DCLENG000,DCLEN,not for review,
CE02SHSM-SBD11-00-DCLENG000,DCLEN,not for review,
CE01ISSM-MFD35-00-DCLENG000,DCLEN,not for review,
CE06ISSM-RID16-00-DCLENG000,DCLEN,not for review,
CE09OSSM-MFD37-00-DCLENG000,DCLEN,not for review,
CE01ISSM-SBD17-00-DCLENG000,DCLEN,not for review,
RS03AXPS-SF03A-2A-DOFSTA302,DOFST,not in the system,delivered in CTD stream - redmine 8662
RS01SBPS-SF01A-2A-DOFSTA102,DOFST,not in the system,delivered in CTD stream - redmine 8662
CE04OSPS-SF01B-2A-DOFSTA107,DOFST,not in the system,delivered in CTD stream - redmine 8662
GP05MOAS-PG576-02-DOSTAM000,DOSTA,failed deployment,
CE04OSPS-PC01B-4A-DOSTAD109,DOSTA,fixed,do_stable_sample
RS01SBPS-PC01A-4A-DOSTAD103,DOSTA,fixed,do_stable_sample
RS03AXBS-LJ03A-12-DOSTAD301,DOSTA,fixed,do_stable_sample
GI05MOAS-PG564-02-DOSTAM000,DOSTA,glider leaked,
RS03AXPS-PC03A-4A-DOSTAD303,DOSTA,not in the system,delivered in CTD stream - redmine 8662
GI05MOAS-PG581-02-DOSTAM000,DOSTA,glider leaked,
GP05MOAS-PG515-02-DOSTAM000,DOSTA,not deployed,
GI05MOAS-PG577-02-DOSTAM000,DOSTA,glider leaked,
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,fixed,do_stable_sample
RS01SLBS-LJ01A-12-DOSTAD101,DOSTA,fixed,do_stable_sample
GI05MOAS-GL486-02-DOSTAM000,DOSTA,glider leaked,
CE04OSBP-LJ01C-06-DOSTAD108,DOSTA,fixed,do_stable_sample
GP05MOAS-PG515-00-ENG000000,ENG00,not for review,
CE05MOAS-GL311-00-ENG000000,ENG00,not for review,
GS05MOAS-GL560-00-ENG000000,ENG00,not for review,
GI05MOAS-PG581-00-ENG000000,ENG00,not for review,
CP05MOAS-GL388-00-ENG000000,ENG00,not for review,
GP05MOAS-PG575-00-ENG000000,ENG00,not for review,
CE05MOAS-GL384-00-ENG000000,ENG00,not for review,
CP05MOAS-GL335-00-ENG000000,ENG00,not for review,
CE05MOAS-GL327-00-ENG000000,ENG00,not for review,
GI05MOAS-GL486-00-ENG000000,ENG00,not for review,
CE05MOAS-GL381-00-ENG000000,ENG00,not for review,
CP05MOAS-GL336-00-ENG000000,ENG00,not for review,
RS01SBPD-DP01A-00-ENG000000,ENG00,not for review,
CE05MOAS-GL312-00-ENG000000,ENG00,not for review,
GS05MOAS-GL486-00-ENG000000,ENG00,not for review,
CE05MOAS-GL319-00-ENG000000,ENG00,not for review,
GS05MOAS-PG565-00-ENG000000,ENG00,not for review,
CE05MOAS-GL320-00-ENG000000,ENG00,not for review,
CP05MOAS-GL375-00-ENG000000,ENG00,not for review,
GS05MOAS-PG566-00-ENG000000,ENG00,not for review,
