refdes,methods,streams-uFrame,database,uFrame,comment
CE02SHSM-RID26-08-SPKIRB000,recovered_host,spkir_abj_dcl_instrument_recovered, yes,yes,
CE02SHSM-RID27-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered, yes,yes,
CE02SHSM-RID27-02-FLORTD000,recovered_host,flort_sample, yes,yes,
CE02SHSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered, yes,yes,
CE02SHSM-RID27-04-DOSTAD000,recovered_host,dosta_abcdjm_dcl_instrument_recovered, yes,yes,
CE02SHSM-SBD11-04-VELPTA000,recovered_inst,velpt_ab_instrument_recovered, yes,yes,
CE02SHSM-SBD11-06-METBKA000,recovered_host,metbk_a_dcl_instrument_recovered, yes,yes,[u'metbk_hourly']duplicated in uFrame
CE02SHSM-SBD11-06-METBKA000,recovered_host,metbk_hourly, yes,yes,[u'metbk_hourly']duplicated in uFrame
CE02SHSM-SBD12-04-PCO2AA000,recovered_host,pco2a_a_dcl_instrument_air_recovered, yes,yes,
CE02SHSM-SBD12-04-PCO2AA000,recovered_host,pco2a_a_dcl_instrument_water_recovered, yes,yes,
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_statistics_recovered, yes,yes,
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_mean_directional_recovered, yes,yes,
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_fourier_recovered, yes,yes,
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_non_directional_recovered, yes,yes,
CE02SHSM-SBD12-05-WAVSSA000,recovered_host,wavss_a_dcl_motion_recovered, yes,yes,
CE02SHSM-SBD12-08-FDCHPA000,recovered_inst,fdchp_a_instrument_recovered, yes,yes,
CE02SHSP-SP001-01-DOSTAJ000,recovered_cspp,dosta_abcdjm_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP001-02-VELPTJ000,recovered_cspp,velpt_j_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP001-04-OPTAAJ000,recovered_cspp,optaa_dj_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP001-05-NUTNRJ000,recovered_cspp,nutnr_j_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP001-05-NUTNRJ000,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered, yes,yes,
CE02SHSP-SP001-06-SPKIRJ000,recovered_cspp,spkir_abj_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP001-07-FLORTJ000,recovered_cspp,flort_sample, yes,yes,
CE02SHSP-SP001-08-CTDPFJ000,recovered_cspp,ctdpf_j_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP001-09-PARADJ000,recovered_cspp,parad_j_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP002-01-DOSTAJ000,recovered_cspp,dosta_abcdjm_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP002-02-VELPTJ000,recovered_cspp,velpt_j_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP002-04-OPTAAJ000,recovered_cspp,optaa_dj_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP002-05-NUTNRJ000,recovered_cspp,nutnr_j_cspp_instrument_recovered, yes,yes,
CE02SHSP-SP002-05-NUTNRJ000,recovered_cspp,nutnr_j_cspp_dark_instrument_recovered, yes,yes,
CE02SHSP-SP002-06-SPKIRJ000,recovered_cspp,spkir_abj_cspp_instrument_recovered, yes,yes,
