refdes,methods,streams-uFrame,database,uFrame,comment
CE04OSPS-PC01B-4C-PCO2WA105,streamed,"[u'pco2w_a_battery_voltage', u'pco2w_a_configuration', u'pco2w_a_regular_status', u'pco2w_a_sami_data_record', u'pco2w_a_sami_data_record_cal', u'pco2w_a_thermistor_voltage']", no,yes,no refdes in database
GI03FLMA-RIM01-02-CTDMOG035,[u'bad_telemetered'],[], no,yes,method not valid
RS01SBPD-DP01A-03-FLCDRA104,recovered_inst,[u'dpc_flcdrtd_instrument_recovered'], no,yes,no refdes in database
RS01SBPD-DP01A-03-FLNTUA104,recovered_inst,[u'dpc_flnturtd_instrument_recovered'], no,yes,no refdes in database
